p87,  -1193.626257,  -45.912269,  -141.712247
p88,  -1195.417126,  4.680124,  -143.011583
p89,  -1257.761699,  -145.987699,  -137.971581
p90,  -1261.025716,  -95.513409,  -138.717857
p91,  -1264.932778,  -44.724067,  -139.631597
p92,  -1329.162517,  -92.980045,  -136.610974
p93,  -1055.490542,  -92.365083,  -184.331840
p94,  -1124.331104,  -145.718217,  -181.787893
p95,  -1123.849404,  -95.532623,  -182.684718
p96,  -1122.982666,  -45.188202,  -183.716859
p97,  -1190.118043,  -197.029107,  -179.218369
p98,  -1191.395232,  -146.970475,  -179.962862
p99,  -1192.796808,  -96.771849,  -180.827039
p100,  -1194.310373,  -46.425177,  -181.871498
p101,  -1196.048668,  4.201452,  -183.270422
p102,  -1258.392549,  -146.535756,  -178.084467
p103,  -1261.619487,  -96.066919,  -178.858436
p104,  -1265.467462,  -45.323150,  -179.790704
p105,  -1329.640039,  -93.624914,  -176.755100
p106,  -1086.608827,  -104.634412,  -127.981331
p107,  -1150.936115,  -155.518853,  -124.602298
p108,  -1152.531737,  -105.455989,  -125.221559
p109,  -1154.246860,  -55.288247,  -125.893297
p110,  -1212.795265,  -205.414446,  -121.513922
p111,  -1215.367943,  -155.201089,  -121.983593
p112,  -1218.265886,  -104.851251,  -122.478522
p113,  -1221.602620,  -54.339732,  -123.025137
p114,  -1225.487796,  -3.614850,  -123.641664
p115,  -1279.396032,  -153.725767,  -119.479079
p116,  -1283.479928,  -102.961192,  -119.841372
p117,  -1288.195757,  -51.907930,  -120.249131
p118,  -1347.758401,  -99.971950,  -117.299463
p119,  -1086.557073,  -105.040491,  -168.175206
p120,  -1150.955586,  -156.027276,  -164.767384
p121,  -1152.475377,  -105.976137,  -165.411846
p122,  -1154.101950,  -55.820673,  -166.124982
p123,  -1212.870666,  -205.978207,  -161.661542
p124,  -1215.402356,  -155.792269,  -162.152519
p125,  -1218.250264,  -105.471799,  -162.685053
p126,  -1221.496245,  -54.981644,  -163.287816
p127,  -1225.282921,  -4.277257,  -163.957644
p128,  -1279.465334,  -154.383280,  -159.649272
p129,  -1283.491860,  -103.662264,  -160.043182
p130,  -1288.154915,  -52.646980,  -160.502123
p131,  -1347.821040,  -100.744548,  -157.496013
p132,  -1062.962350,  -111.464319,  -113.587548
p133,  -1126.556784,  -163.767089,  -111.189133
p134,  -1126.641226,  -113.706289,  -111.864283
p135,  -1126.546589,  -63.611144,  -112.589057
p136,  -1188.348652,  -214.906499,  -108.967491
p137,  -1189.439216,  -164.911753,  -109.574759
p138,  -1190.566454,  -114.852717,  -110.236138
p139,  -1191.705412,  -64.761015,  -110.914530
p140,  -1192.901610,  -14.601077,  -111.679607
p141,  -1252.293747,  -165.075831,  -108.076435
p142,  -1254.427475,  -114.910292,  -108.689338
p143,  -1256.810305,  -64.643223,  -109.354245
p144,  -1317.971771,  -113.916688,  -107.251780
p145,  -1063.626714,  -111.877303,  -153.685885
p146,  -1127.291440,  -164.229151,  -151.278669
p147,  -1127.365720,  -114.171052,  -151.971748
p148,  -1127.252431,  -64.055627,  -152.720549
p149,  -1189.134163,  -215.387641,  -149.054892
p150,  -1190.234015,  -165.388506,  -149.664260
p151,  -1191.351334,  -115.331085,  -150.335778
p152,  -1192.503357,  -65.243837,  -151.060099
p153,  -1193.694094,  -15.065034,  -151.858153
p154,  -1253.137153,  -165.542823,  -148.173821
p155,  -1255.297990,  -115.403166,  -148.793077
p156,  -1257.688203,  -65.126528,  -149.489993
p157,  -1318.908384,  -114.400060,  -147.346659
p158,  -1050.188616,  -101.256834,  -128.969496
p159,  -1116.347780,  -154.631454,  -126.857144
p160,  -1115.596898,  -104.448773,  -127.597274
p161,  -1114.496729,  -54.156982,  -128.411872
p162,  -1180.305568,  -206.357733,  -124.789408
p163,  -1180.961201,  -156.351817,  -125.463657
p164,  -1181.550793,  -106.262617,  -126.199284
p165,  -1182.083849,  -56.101128,  -127.017508
p166,  -1182.562347,  -5.830863,  -127.991382
p167,  -1245.634900,  -156.792206,  -124.104247
p168,  -1247.618111,  -106.633792,  -124.814965
p169,  -1249.850558,  -56.302006,  -125.643429
p170,  -1313.357025,  -105.594008,  -123.448302
p171,  -1051.257749,  -101.729470,  -169.049082
p172,  -1117.393850,  -155.113793,  -166.932171
p173,  -1116.689815,  -104.931140,  -167.684504
p174,  -1115.576613,  -54.622282,  -168.535369
p175,  -1181.332161,  -206.826067,  -164.858085
p176,  -1182.022228,  -156.824644,  -165.541751
p177,  -1182.631079,  -106.735583,  -166.302869
p178,  -1183.181323,  -56.576793,  -167.160625
p179,  -1183.661634,  -6.279619,  -168.185403
p180,  -1246.674452,  -157.266605,  -164.201651
p181,  -1248.688363,  -107.110298,  -164.920124
p182,  -1250.931486,  -56.792608,  -165.784635
p183,  -1314.415154,  -106.061369,  -163.571865
p184,  -1182.387342,  -106.587138,  -156.307543
