x,y,z,phi,theta
-6.20984667077064,-30.7557699409872,-755.542255521926,-120,5
12.4196933415413,-20,-755.542255521926,0,5
-6.20984667077064,-9.2442300590128,-755.542255521926,120,5
-12.3724326587688,-41.429681978212,-757.16489519576,-120,10
24.7448653175376,-20,-757.16489519576,0,10
-12.3724326587688,1.42968197821203,-757.16489519576,120,10
0,-20,-735,0,0
-6.20984667077064,-30.7557699409872,-735.542255521926,-120,5
12.4196933415413,-20,-735.542255521926,0,5
-6.20984667077064,-9.2442300590128,-735.542255521926,120,5
-12.3724326587688,-41.429681978212,-737.16489519576,-120,10
24.7448653175376,-20,-737.16489519576,0,10
-12.3724326587688,1.42968197821203,-737.16489519576,120,10
0,-20,-715,0,0
-6.20984667077064,-30.7557699409872,-715.542255521926,-120,5
12.4196933415413,-20,-715.542255521926,0,5
-6.20984667077064,-9.2442300590128,-715.542255521926,120,5
-12.3724326587688,-41.429681978212,-717.16489519576,-120,10
24.7448653175376,-20,-717.16489519576,0,10
-12.3724326587688,1.42968197821203,-717.16489519576,120,10
0,-20,-695,0,0
-6.20984667077064,-30.7557699409872,-695.542255521926,-120,5
12.4196933415413,-20,-695.542255521926,0,5
-6.20984667077064,-9.2442300590128,-695.542255521926,120,5
-12.3724326587688,-41.429681978212,-697.16489519576,-120,10
24.7448653175376,-20,-697.16489519576,0,10
-12.3724326587688,1.42968197821203,-697.16489519576,120,10
0,0,-775,0,0
-6.20984667077064,-10.7557699409872,-775.542255521926,-120,5
12.4196933415413,0,-775.542255521926,0,5
-6.20984667077064,10.7557699409872,-775.542255521926,120,5
-12.3724326587688,-21.429681978212,-777.16489519576,-120,10
24.7448653175376,0,-777.16489519576,0,10
-12.3724326587688,21.429681978212,-777.16489519576,120,10
0,0,-755,0,0
-6.20984667077064,-10.7557699409872,-755.542255521926,-120,5
12.4196933415413,0,-755.542255521926,0,5
-6.20984667077064,10.7557699409872,-755.542255521926,120,5
-12.3724326587688,-21.429681978212,-757.16489519576,-120,10
24.7448653175376,0,-757.16489519576,0,10
-12.3724326587688,21.429681978212,-757.16489519576,120,10
0,0,-735,0,0
-6.20984667077064,-10.7557699409872,-735.542255521926,-120,5
12.4196933415413,0,-735.542255521926,0,5
-6.20984667077064,10.7557699409872,-735.542255521926,120,5
-12.3724326587688,-21.429681978212,-737.16489519576,-120,10
